YEAR,STATEFIP,Foreign-born,US-born,uninsured_rate_pct_gap_foreign_minus_us
2009,31,38.77378558731824,9.670452361015144,29.103333226303093
2009,32,39.492404087866554,17.752993997006836,21.739410090859717
2009,33,19.855641029220823,9.926569168096194,9.92907186112463
2009,34,28.49035290740033,8.397500451267826,20.092852456132505
2009,35,50.88709677419355,17.095238949845545,33.79185782434801
2009,36,23.641273851798577,8.274619694682821,15.366654157115756
2009,37,48.64478571130493,13.479006542590358,35.165779168714565
2009,38,16.70257330939557,9.760543382324725,6.9420299270708465
2009,39,23.050923314327807,11.897383147925776,11.153540166402031
2009,40,47.12080523154507,17.433112275277054,29.687692956268016
2009,41,38.43916574440898,15.240811543250569,23.198354201158413
2009,42,20.9210506734132,9.18584065522662,11.735210018186578
2009,44,28.00170424076808,8.737390389962215,19.264313850805866
2009,45,44.65639719679853,15.655545080044773,29.000852116753755
2009,46,16.57130159435587,13.270062278087568,3.301239316268301
2009,47,46.64990548204159,13.127946288271989,33.521959193769604
2009,48,51.07151860868518,18.978756025778594,32.09276258290659
2009,49,40.79781989992373,12.186627088447958,28.611192811475775
2009,50,6.98677800974252,8.541620511167952,-1.5548425014254326
2009,51,26.751748802602084,9.905022286926487,16.8467265156756
2009,53,26.68154883505555,11.636018041999202,15.045530793056349
2009,54,14.916670492631193,14.390738299918885,0.5259321927123075
2009,55,29.633835803769315,8.378589095852703,21.255246707916612
2009,56,47.73610936912078,14.042277949181745,33.69383141993904
2010,1,52.265295219308285,13.675998745036983,38.5892964742713
2010,2,33.47437502698502,16.97787736247209,16.496497664512933
2010,4,39.37235787838432,14.13329530054637,25.23906257783795
2010,5,47.17688508793062,16.43463441066334,30.742250677267283
2010,6,32.857841644249305,13.345535116401692,19.512306527847613
2010,8,38.53067174876205,13.326971712199546,25.20370003656251
