period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2014-2019,12,Foreign-born,400892200,4308600.0,1.0747527639599872
2014-2019,12,US-born,1333200800,48731300.0,3.655210827956299
2014-2019,13,Foreign-born,138182100,3068600.0,2.2206928393764462
2014-2019,13,US-born,822304300,33036500.0,4.017551653323471
2014-2019,15,Foreign-born,18664900,250900.0,1.3442343650381197
2014-2019,15,US-born,116560900,1569400.0,1.3464206264707976
2014-2019,16,Foreign-born,13422000,282900.0,2.1077335717478767
2014-2019,16,US-born,143867800,3752900.0,2.6085753726685192
2014-2019,17,Foreign-born,202013000,1315200.0,0.6510472098330305
2014-2019,17,US-born,992722800,26544300.0,2.673888420815962
2014-2019,18,Foreign-born,50663900,527200.0,1.040583137105513
2014-2019,18,US-born,557165600,17532600.0,3.1467484711906124
2014-2019,19,Foreign-born,25030500,351000.0,1.402289207167256
2014-2019,19,US-born,261492700,4812700.0,1.8404720284734526
2014-2019,20,Foreign-born,29506800,328800.0,1.1143194111187928
2014-2019,20,US-born,245486000,6758700.0,2.7531916280358146
2014-2019,21,Foreign-born,25467900,222400.0,0.8732561381189654
2014-2019,21,US-born,374245600,13192300.0,3.5250381033203864
2014-2019,22,Foreign-born,27327300,1201900.0,4.398165936627476
2014-2019,22,US-born,412119000,21371700.0,5.185807982645789
2014-2019,23,Foreign-born,3776800,28000.0,0.7413683541622538
2014-2019,23,US-born,101876100,1581600.0,1.5524740346361905
2014-2019,24,Foreign-born,105656500,854300.0,0.8085635999678202
2014-2019,24,US-born,438288400,12455700.0,2.84189588407998
2014-2019,25,Foreign-born,132861000,995500.0,0.7492793219981786
2014-2019,25,US-born,492346200,6834300.0,1.3881086113795535
2014-2019,26,Foreign-born,79307200,419200.0,0.5285774809853331
2014-2019,26,US-born,802474400,19202500.0,2.3929112255792835
2014-2019,27,Foreign-born,62811400,635100.0,1.0111221848263214
2014-2019,27,US-born,445839400,6355700.0,1.425558171843942
2014-2019,28,Foreign-born,9426000,1080400.0,11.461913855293867
2014-2019,28,US-born,258772600,11888100.0,4.594033525960631
2014-2019,29,Foreign-born,32808800,243800.0,0.7430933164272999
2014-2019,29,US-born,518143000,15115100.0,2.9171676544892047
2014-2019,30,Foreign-born,2332700,12800.0,0.5487203669567453
2014-2019,30,US-born,91738800,1811000.0,1.9740829398248068
2014-2019,31,Foreign-born,21337500,322800.0,1.512829525483304
2014-2019,31,US-born,158340100,3256300.0,2.056522637032565
2014-2019,32,Foreign-born,60431400,610700.0,1.0105673540576587
2014-2019,32,US-born,216610800,6336500.0,2.9252927370195763
2014-2019,33,Foreign-born,7889600,92200.0,1.1686270533360372
2014-2019,33,US-born,106555100,1945200.0,1.825534394881146
2014-2019,34,Foreign-born,215096700,1687600.0,0.784577355208146
2014-2019,34,US-born,568565000,13629900.0,2.3972456975016048
2014-2019,35,Foreign-born,21757600,1020300.0,4.6893958892524905
2014-2019,35,US-born,173102900,5875600.0,3.394281667147113
2014-2019,36,Foreign-born,452891900,3340800.0,0.7376594723818201
2014-2019,36,US-born,1389949500,28843600.0,2.075154528995478
2014-2019,37,Foreign-born,110892800,1072300.0,0.9669699024643619
2014-2019,37,US-born,805153100,18608700.0,2.311200192857731
2014-2019,38,Foreign-born,5107700,85900.0,1.6817745756406994
2014-2019,38,US-born,77261800,1032700.0,1.3366243085198637
2014-2019,39,Foreign-born,66614000,546400.0,0.8202479959167742
2014-2019,39,US-born,960880900,26521500.0,2.7601235491308027
2014-2019,40,Foreign-born,34223500,782400.0,2.2861484067965
2014-2019,40,US-born,336625800,12213400.0,3.628182985380206
2014-2019,41,Foreign-born,49690700,551400.0,1.1096643838786733
2014-2019,41,US-born,333138900,6841700.0,2.053707927834306
2014-2019,42,Foreign-born,104735400,1801900.0,1.7204307235185048
