YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2009,18,US-born,92377100,2571300.0,2.783482053452641
2009,19,Foreign-born,3231700,22700.0,0.702416684717022
2009,19,US-born,42578200,620100.0,1.4563790860111512
2009,20,Foreign-born,5124600,57300.0,1.118136049642899
2009,20,US-born,40004000,915700.0,2.289021097890211
2009,21,Foreign-born,3875600,55800.0,1.439777066776757
2009,21,US-born,63602400,2072100.0,3.2578959284555298
2009,22,Foreign-born,3554100,70600.0,1.9864381981373624
2009,22,US-born,67008300,2613400.0,3.900113866491166
2009,23,Foreign-born,495300,7300.0,1.4738542297597417
2009,23,US-born,17512100,237100.0,1.3539210031920785
2009,24,Foreign-born,16805100,111000.0,0.660513772604745
2009,24,US-born,70433000,2315900.0,3.288089389916658
2009,25,Foreign-born,20558700,138300.0,0.6727079046826892
2009,25,US-born,78963300,1437600.0,1.8205926044124296
2009,26,Foreign-born,12708900,42500.0,0.33441131805270324
2009,26,US-born,136777500,4142300.0,3.0284951837838827
2009,27,Foreign-born,9006800,78000.0,0.866012346227295
2009,27,US-born,73178000,1108700.0,1.5150728360982808
2009,28,Foreign-born,1813800,64300.0,3.5450435549674717
2009,28,US-born,43541900,1810900.0,4.158982497318674
2009,29,Foreign-born,5138500,67700.0,1.317505108494697
2009,29,US-born,86384400,2469900.0,2.859196799422118
2009,30,Foreign-born,461600,0.0,0.0
2009,30,US-born,14165200,236700.0,1.6709965266992348
2009,31,Foreign-born,3303900,37200.0,1.125942068464542
2009,31,US-born,25437000,425700.0,1.6735464087746197
2009,32,Foreign-born,11915100,113400.0,0.9517335146159077
2009,32,US-born,31569000,645000.0,2.043143590230923
2009,33,Foreign-born,1190800,9100.0,0.7641921397379913
2009,33,US-born,17706900,262100.0,1.4802139279038116
2009,34,Foreign-born,36589200,424900.0,1.1612716320662928
2009,34,US-born,92721300,2896100.0,3.123446284726379
2009,35,Foreign-born,4360900,155400.0,3.5634846018023802
2009,35,US-born,27137700,746700.0,2.7515227893299725
2009,36,Foreign-born,79951400,875300.0,1.0947900849766234
2009,36,US-born,221866300,5530900.0,2.4928977496807763
2009,37,Foreign-born,20027400,283500.0,1.4155606818658437
2009,37,US-born,129231200,3271600.0,2.5315867994725734
2009,38,Foreign-born,377700,0.0,0.0
2009,38,US-born,10455000,164100.0,1.5695839311334292
2009,39,Foreign-born,9176600,171000.0,1.863435259246344
2009,39,US-born,162646600,4508400.0,2.77189932036698
2009,40,Foreign-born,5856400,244100.0,4.168089611365343
2009,40,US-born,53695100,2299400.0,4.2823274376991565
2009,41,Foreign-born,9634900,210800.0,2.1878794798077825
2009,41,US-born,50517100,1295000.0,2.5634884029368274
2009,42,Foreign-born,13985000,339200.0,2.4254558455488024
2009,42,US-born,169502700,5787500.0,3.4143998886153435
2009,44,Foreign-born,3062700,24600.0,0.8032128514056224
2009,44,US-born,13096700,213000.0,1.6263638931944688
2009,45,Foreign-born,5652600,152000.0,2.6890280578848675
2009,45,US-born,64889100,2561900.0,3.948120716730545
2009,46,Foreign-born,469400,11900.0,2.5351512569237324
2009,46,US-born,11997200,147700.0,1.2311205948054547
2009,47,Foreign-born,8085000,215800.0,2.6691403834260976
2009,47,US-born,89173200,2306100.0,2.5860908882937923
2009,48,Foreign-born,102740600,2311000.0,2.2493541988269485
2009,48,US-born,315942300,13162600.0,4.1661404629896035
2009,49,Foreign-born,6338300,90800.0,1.4325607812820473
2009,49,US-born,43913500,561900.0,1.279560955059378
2009,50,Foreign-born,340900,5300.0,1.5547081255500146
2009,50,US-born,8879700,61600.0,0.6937171300832236
2009,51,Foreign-born,19096300,206900.0,1.0834559574367808
2009,51,US-born,107415800,3553500.0,3.3081725407249216
2009,53,Foreign-born,18585600,242500.0,1.30477358815427
2009,53,US-born,88648200,1548200.0,1.7464539607121181
