period,STATEFIP,Foreign-born,US-born,incarceration_rate_pct_gap_foreign_minus_us
2008-2013,40,2.124510499213715,4.088405377425205,-1.963894878211489
2008-2013,41,1.7361249777629328,2.3683585662067768,-0.6322335884438439
2008-2013,42,2.109390289465725,3.4152444036164966,-1.3058541141507718
2008-2013,44,0.6737621471540952,1.6152958421437713,-0.9415336949896761
2008-2013,45,2.340798032067548,3.8266527568646453,-1.4858547247970968
2008-2013,46,2.1776975912385654,2.624707583890663,-0.44700999265209745
2008-2013,47,1.3946498839156658,2.9993974424780734,-1.6047475585624076
2008-2013,48,2.516105185341641,4.008860132938079,-1.492754947596438
2008-2013,49,1.3362772445216002,1.5998457175028251,-0.2635684729812249
2008-2013,50,0.2597402597402597,1.0845370589628225,-0.8247967992225629
2008-2013,51,1.1426329918727756,3.4570791490656942,-2.314446157192919
2008-2013,53,1.2029245667977033,1.8771332350207386,-0.6742086682230352
2008-2013,54,6.11037730431287,3.013033821039157,3.097343483273712
2008-2013,55,1.3384578991145624,3.0939534647901605,-1.7554955656755982
2008-2013,56,2.2078550380437174,2.014753280379755,0.19310175766396218
2014-2019,1,0.922509225092251,3.3470174936148416,-2.4245082685225907
2014-2019,2,0.635343546651637,2.282427842542976,-1.647084295891339
2014-2019,4,3.891553906261785,4.100113060093512,-0.20855915383172668
2014-2019,5,1.0600380431771594,3.7203107585473534,-2.6602727153701946
2014-2019,6,0.9717236252770415,2.396078177709963,-1.4243545524329213
2014-2019,8,1.3163088458953773,2.4583666460960982,-1.1420578002007207
2014-2019,9,0.5828545785653533,2.260341932836982,-1.6774873542716287
2014-2019,10,0.27927321668909827,3.308766386991576,-3.0294931703024774
2014-2019,11,0.11614133862507116,1.8018133024686105,-1.6856719638435396
2014-2019,12,1.0747527639599872,3.655210827956299,-2.5804580639963115
2014-2019,13,2.2206928393764462,4.017551653323471,-1.7968588139470252
2014-2019,15,1.3442343650381197,1.3464206264707976,-0.002186261432678066
2014-2019,16,2.1077335717478767,2.6085753726685192,-0.5008418009206426
2014-2019,17,0.6510472098330305,2.673888420815962,-2.0228412109829312
2014-2019,18,1.040583137105513,3.1467484711906124,-2.106165334085099
2014-2019,19,1.402289207167256,1.8404720284734526,-0.43818282130619673
2014-2019,20,1.1143194111187928,2.7531916280358146,-1.6388722169170216
2014-2019,21,0.8732561381189654,3.5250381033203864,-2.6517819652014207
2014-2019,22,4.398165936627476,5.185807982645789,-0.7876420460183136
2014-2019,23,0.7413683541622538,1.5524740346361905,-0.8111056804739367
2014-2019,24,0.8085635999678202,2.84189588407998,-2.0333322841121597
2014-2019,25,0.7492793219981786,1.3881086113795535,-0.6388292893813751
2014-2019,26,0.5285774809853331,2.3929112255792835,-1.8643337445939503
2014-2019,27,1.0111221848263214,1.425558171843942,-0.41443598701762074
2014-2019,28,11.461913855293867,4.594033525960631,6.867880329333237
2014-2019,29,0.7430933164272999,2.9171676544892047,-2.174074338061905
2014-2019,30,0.5487203669567453,1.9740829398248068,-1.4253625728680612
2014-2019,31,1.512829525483304,2.056522637032565,-0.5436931115492609
2014-2019,32,1.0105673540576587,2.9252927370195763,-1.9147253829619173
2014-2019,33,1.1686270533360372,1.825534394881146,-0.6569073415451087
2014-2019,34,0.784577355208146,2.3972456975016048,-1.612668342293459
2014-2019,35,4.6893958892524905,3.394281667147113,1.2951142221053777
2014-2019,36,0.7376594723818201,2.075154528995478,-1.3374950566136579
2014-2019,37,0.9669699024643619,2.311200192857731,-1.3442302903933692
2014-2019,38,1.6817745756406994,1.3366243085198637,0.3451502671208357
2014-2019,39,0.8202479959167742,2.7601235491308027,-1.9398755532140284
2014-2019,40,2.2861484067965,3.628182985380206,-1.3420345785837062
2014-2019,41,1.1096643838786733,2.053707927834306,-0.9440435439556325
2014-2019,42,1.7204307235185048,3.1972395211703675,-1.4768087976518627
2014-2019,44,0.6453258512944777,1.070758429407423,-0.4254325781129454
2014-2019,45,2.2162912100832433,3.039398240011379,-0.8231070299281359
2014-2019,46,1.9781276791501996,2.831779802844673,-0.8536521236944736
2014-2019,47,1.2674590850784144,3.0846020610988485,-1.817142976020434
2014-2019,48,2.1265066949579756,3.403097933145723,-1.2765912381877478
2014-2019,49,1.0034929161815394,1.5369615792755675,-0.5334686630940282
2014-2019,50,0.29933793492041133,1.0562693670299543,-0.7569314321095431
2014-2019,51,0.9207106687237031,3.0458894051776473,-2.125178736453944
2014-2019,53,0.5192797628221982,1.7515120322211684,-1.23223226939897
2014-2019,54,6.390057466523688,3.3670192922617774,3.023038174261911
2014-2019,55,0.9050978999430723,2.751634283648502,-1.84653638370543
2014-2019,56,1.6671356218345528,2.1182104819170005,-0.4510748600824477
2020-2024,1,1.5902436540468978,2.4813038173882767,-0.8910601633413787
2020-2024,2,1.717359370949624,1.7617594849709013,-0.04440011402127721
2020-2024,4,1.8057984868206964,2.828688662211003,-1.0228901753903066
2020-2024,5,1.410775836004112,3.081158965972418,-1.6703831299683056
2020-2024,6,0.7783614925215383,1.9158262337402177,-1.1374647412186796
2020-2024,8,0.9923439022723758,1.9591438393559615,-0.9667999370835857
2020-2024,9,0.46615782362703845,1.518480337821711,-1.0523225141946728
2020-2024,10,0.8251404494382022,2.428544375297936,-1.6034039258597337
2020-2024,11,0.29898491485202333,1.471933630434632,-1.1729487155826086
2020-2024,12,0.7761519611314929,2.8697723203808803,-2.093620359249387
2020-2024,13,0.9843262752915231,3.345464972196905,-2.361138696905382
2020-2024,15,1.0953578323724351,0.9334613783632305,0.1618964540092045
2020-2024,16,1.0898351744084749,2.2382510464839966,-1.1484158720755218
2020-2024,17,0.4231984468124274,2.1825730423478213,-1.7593745955353939
2020-2024,18,0.5382996751565164,2.478710223633415,-1.9404105484768983
2020-2024,19,1.0760865807706932,1.6871095790709825,-0.6110229983002892
2020-2024,20,0.7224544451079384,2.389808523249521,-1.6673540781415825
2020-2024,21,2.0564583872534996,2.980563477667793,-0.9241050904142935
2020-2024,22,6.134863549352562,4.14044833009364,1.9944152192589217
2020-2024,23,1.2142751369761589,0.999912839992983,0.21436229698317583
2020-2024,24,0.47927233727969654,2.551568413548455,-2.072296076268759
2020-2024,25,0.3743152634994063,1.0775592118751938,-0.7032439483757875
2020-2024,26,0.4177029575343036,1.9808587014502732,-1.5631557439159696
2020-2024,27,1.1342739956599979,1.1424983948358949,-0.008224399175897134
2020-2024,28,12.87444152676316,3.715539600348674,9.158901926414485
