period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_per_100k
2014-2019,27,US-born,445839400,6355700.0,1425.558171843942
2014-2019,28,Foreign-born,9426000,1080400.0,11461.913855293868
2014-2019,28,US-born,258772600,11888100.0,4594.033525960631
2014-2019,29,Foreign-born,32808800,243800.0,743.0933164272999
2014-2019,29,US-born,518143000,15115100.0,2917.167654489205
2014-2019,30,Foreign-born,2332700,12800.0,548.7203669567454
2014-2019,30,US-born,91738800,1811000.0,1974.0829398248068
2014-2019,31,Foreign-born,21337500,322800.0,1512.829525483304
2014-2019,31,US-born,158340100,3256300.0,2056.522637032565
2014-2019,32,Foreign-born,60431400,610700.0,1010.5673540576588
2014-2019,32,US-born,216610800,6336500.0,2925.292737019576
2014-2019,33,Foreign-born,7889600,92200.0,1168.6270533360373
2014-2019,33,US-born,106555100,1945200.0,1825.534394881146
2014-2019,34,Foreign-born,215096700,1687600.0,784.577355208146
2014-2019,34,US-born,568565000,13629900.0,2397.245697501605
2014-2019,35,Foreign-born,21757600,1020300.0,4689.395889252491
2014-2019,35,US-born,173102900,5875600.0,3394.281667147113
2014-2019,36,Foreign-born,452891900,3340800.0,737.65947238182
2014-2019,36,US-born,1389949500,28843600.0,2075.154528995478
2014-2019,37,Foreign-born,110892800,1072300.0,966.9699024643619
2014-2019,37,US-born,805153100,18608700.0,2311.200192857731
2014-2019,38,Foreign-born,5107700,85900.0,1681.7745756406994
2014-2019,38,US-born,77261800,1032700.0,1336.6243085198637
2014-2019,39,Foreign-born,66614000,546400.0,820.2479959167742
2014-2019,39,US-born,960880900,26521500.0,2760.1235491308025
2014-2019,40,Foreign-born,34223500,782400.0,2286.1484067965
2014-2019,40,US-born,336625800,12213400.0,3628.182985380206
2014-2019,41,Foreign-born,49690700,551400.0,1109.6643838786733
2014-2019,41,US-born,333138900,6841700.0,2053.707927834306
2014-2019,42,Foreign-born,104735400,1801900.0,1720.4307235185047
2014-2019,42,US-born,1015476000,32467200.0,3197.2395211703674
2014-2019,44,Foreign-born,15682000,101200.0,645.3258512944777
2014-2019,44,US-born,81699100,874800.0,1070.7584294074231
2014-2019,45,Foreign-born,34020800,754000.0,2216.291210083243
2014-2019,45,US-born,409173100,12436400.0,3039.398240011379
2014-2019,46,Foreign-born,4782300,94600.0,1978.1276791501996
2014-2019,46,US-born,76782100,2174300.0,2831.779802844673
2014-2019,47,Foreign-born,50360600,638300.0,1267.4590850784143
2014-2019,47,US-born,549231300,16941600.0,3084.6020610988485
2014-2019,48,Foreign-born,588166500,12507400.0,2126.5066949579755
