period,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008-2013,45,Non-citizen / foreign-born unknown,84503600,50244000.0,59.457821915279354
2008-2013,45,US-born,2628892000,405529400.0,15.425867627882772
2008-2013,46,Naturalized citizen,5190700,517500.0,9.969753597780647
2008-2013,46,Non-citizen / foreign-born unknown,7183400,2130500.0,29.65865746025559
2008-2013,46,US-born,478378000,55768700.0,11.657873062724457
2008-2013,47,Naturalized citizen,58588800,11862700.0,20.247385165765472
2008-2013,47,Non-citizen / foreign-born unknown,110619200,63277900.0,57.20336071857327
2008-2013,47,US-born,3622949200,468332300.0,12.926824919322632
2008-2013,48,Naturalized citizen,814477800,210328100.0,25.823674997648798
2008-2013,48,Non-citizen / foreign-born unknown,1666275900,1021848500.0,61.32528832710117
2008-2013,48,US-born,12584644500,2296943400.0,18.251953005108724
2008-2013,49,Naturalized citizen,47684500,8754500.0,18.359215258627017
2008-2013,49,Non-citizen / foreign-born unknown,90836200,48903200.0,53.83668625503929
2008-2013,49,US-born,1532066200,186258500.0,12.157340198484896
2008-2013,50,Naturalized citizen,8844100,526100.0,5.948598500695379
2008-2013,50,Non-citizen / foreign-born unknown,6283600,928900.0,14.78292698453116
2008-2013,50,US-born,356101400,26544600.0,7.454225116778536
2008-2013,51,Naturalized citizen,247991900,34670000.0,13.980295324161798
2008-2013,51,Non-citizen / foreign-born unknown,281998400,118931300.0,42.174459145867495
2008-2013,51,US-born,4211800600,426681100.0,10.130610171811078
2008-2013,53,Naturalized citizen,240207700,37142700.0,15.462743284249422
2008-2013,53,Non-citizen / foreign-born unknown,287998400,112416800.0,39.03382796571092
2008-2013,53,US-born,3469787300,399617600.0,11.517063308174539
2008-2013,54,Naturalized citizen,6957000,841200.0,12.091418714963346
2008-2013,54,Non-citizen / foreign-born unknown,7631300,2409700.0,31.576533487086078
2008-2013,54,US-born,1086187900,158280100.0,14.572073579534445
2008-2013,55,Naturalized citizen,67009800,7574800.0,11.304018218230766
2008-2013,55,Non-citizen / foreign-born unknown,90663400,37563100.0,41.43138245422078
2008-2013,55,US-born,3232526700,271420200.0,8.396533894058788
2008-2013,56,Naturalized citizen,3748500,569700.0,15.198079231692677
2008-2013,56,Non-citizen / foreign-born unknown,6092300,2956800.0,48.53339461287199
2008-2013,56,US-born,324580600,45477800.0,14.011250210271347
2014-2019,1,Naturalized citizen,37993700,4780800.0,12.583138783535164
2014-2019,1,Non-citizen / foreign-born unknown,60446700,28242200.0,46.72248443670209
2014-2019,1,US-born,2799228700,274048800.0,9.79015398063045
2014-2019,2,Naturalized citizen,20747600,2506600.0,12.081397366442385
2014-2019,2,Non-citizen / foreign-born unknown,13891400,3201900.0,23.04951264811322
2014-2019,2,US-born,397622800,55044100.0,13.843295706383035
2014-2019,4,Naturalized citizen,241848800,25868100.0,10.695980298434392
2014-2019,4,Non-citizen / foreign-born unknown,321711000,117711900.0,36.589330175219374
2014-2019,4,US-born,3572377000,338223300.0,9.46773814745756
2014-2019,5,Naturalized citizen,28443900,3588100.0,12.614655514890716
2014-2019,5,Non-citizen / foreign-born unknown,57985100,24744600.0,42.67406626874835
2014-2019,5,US-born,1698028500,142351500.0,8.38333985560313
2014-2019,6,Naturalized citizen,3256429900,194567200.0,5.974862225653928
2014-2019,6,Non-citizen / foreign-born unknown,3105036100,811589500.0,26.137844258879955
2014-2019,6,US-born,16897303700,997975300.0,5.906121578438577
2014-2019,8,Naturalized citizen,138811400,11616600.0,8.368621021040058
2014-2019,8,Non-citizen / foreign-born unknown,186899300,72133500.0,38.59484759975024
2014-2019,8,US-born,2961851200,192864200.0,6.511610036317828
2014-2019,9,Naturalized citizen,159839100,9431800.0,5.900809001051682
2014-2019,9,Non-citizen / foreign-born unknown,150497400,46840300.0,31.123660608090237
2014-2019,9,US-born,1758475600,63062400.0,3.58619704475854
2014-2019,10,Naturalized citizen,25768200,1650400.0,6.404793505173043
2014-2019,10,Non-citizen / foreign-born unknown,28453100,7998200.0,28.110118053920313
