period,STATEFIP,Foreign-born,US-born,uninsured_rate_pct_gap_foreign_minus_us
2020-2024,10,18.60152623346693,5.063574117001363,13.537952116465569
2020-2024,11,8.344409335607049,2.83577351778395,5.508635817823098
2020-2024,12,18.583810924172912,9.801414348326958,8.782396575845954
2020-2024,13,25.910473348551903,11.040276219637303,14.8701971289146
2020-2024,15,4.975857550431203,3.040958726042736,1.9348988243884673
2020-2024,16,24.742698021320184,7.849448850245647,16.893249171074537
2020-2024,17,17.890266089957272,4.879214188759965,13.011051901197307
2020-2024,18,18.734120244728548,6.514207731381734,12.219912513346813
2020-2024,19,18.49388741367846,4.259455207238083,14.234432206440378
2020-2024,20,27.04060644403528,7.419146695325732,19.621459748709547
2020-2024,21,22.532677205093492,5.379163379242292,17.1535138258512
2020-2024,22,35.33061799360385,6.749344057612909,28.581273935990943
2020-2024,23,8.507488429585765,6.119949431455426,2.3875389981303385
2020-2024,24,18.20047388515226,3.8886673856444114,14.311806499507849
2020-2024,25,5.305998340062752,1.9791724228588436,3.3268259172039083
2020-2024,26,9.580463630495293,4.7170141846128395,4.863449445882454
2020-2024,27,12.682947801484584,3.909628636113596,8.773319165370989
2020-2024,28,35.34472932807664,11.031968286436204,24.312761041640435
2020-2024,29,18.78890277400825,8.33480519194734,10.45409758206091
2020-2024,30,12.737806048767458,8.226127176624114,4.511678872143344
2020-2024,31,25.378912375011204,5.701611937684728,19.677300437326476
2020-2024,32,22.49580361200821,8.822198521591822,13.673605090416387
2020-2024,33,11.406039756412213,4.63161495625243,6.774424800159783
2020-2024,34,18.296118272335573,3.7766131956150444,14.519505076720527
2020-2024,35,27.823929521559503,7.532441461677763,20.29148805988174
2020-2024,36,9.83206313537857,3.5960733249006402,6.23598981047793
2020-2024,37,29.488604697600536,7.827106767358889,21.661497930241648
2020-2024,38,13.245406574942026,5.834224873858237,7.411181701083788
2020-2024,39,16.753635978441867,5.99354187909337,10.760094099348496
2020-2024,40,33.737778272411546,11.744631410834783,21.99314686157676
2020-2024,41,15.287417053352211,5.039016492913049,10.248400560439162
2020-2024,42,14.56556126286397,5.174532530724596,9.391028732139374
2020-2024,44,11.493788220780802,2.9067810010446795,8.587007219736122
2020-2024,45,29.119612697007298,8.50677208874287,20.612840608264428
2020-2024,46,16.593889043176137,8.592082658882784,8.001806384293353
2020-2024,47,33.57515488270964,8.637498538746968,24.937656343962672
2020-2024,48,33.58308683685937,14.043926069537182,19.53916076732219
2020-2024,49,26.857549705708315,6.772585823092961,20.084963882615355
2020-2024,50,6.301503666304392,3.7031114299863956,2.5983922363179968
2020-2024,51,18.24071072324832,5.135697746197717,13.105012977050603
2020-2024,53,14.837427847530199,4.785405757986656,10.052022089543543
2020-2024,54,12.292776422561856,6.545138442956875,5.74763797960498
2020-2024,55,18.05100188086957,4.812066970092154,13.238934910777417
2020-2024,56,28.369775246618527,10.613291785573892,17.756483461044635
