YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2009,4,US-born,560117000,78875800.0,14.082022148943881
2009,5,Naturalized citizen,3567900,721200.0,20.21357100815606
2009,5,Non-citizen / foreign-born unknown,8050100,4833300.0,60.040247947230476
2009,5,US-born,275373100,43581000.0,15.82616457453542
2009,6,Naturalized citizen,453881300,73133200.0,16.11284712544888
2009,6,Non-citizen / foreign-born unknown,539243700,246988000.0,45.80266769922393
2009,6,US-born,2659960600,347592400.0,13.067577015990386
2009,8,Naturalized citizen,16316600,2633800.0,16.141843276172732
2009,8,Non-citizen / foreign-born unknown,32835900,18861000.0,57.44017980320321
2009,8,US-born,446859400,55783500.0,12.483456765148054
2009,9,Naturalized citizen,21274900,1851500.0,8.702743608665612
2009,9,Non-citizen / foreign-born unknown,24540500,8901800.0,36.27391454941831
2009,9,US-born,293928200,19195000.0,6.530506429801564
2009,10,Naturalized citizen,2958000,442800.0,14.969574036511158
2009,10,Non-citizen / foreign-born unknown,4381500,1759500.0,40.15748031496063
2009,10,US-born,79817100,6937000.0,8.691120073267507
2009,11,Naturalized citizen,2835500,307500.0,10.844648210192206
2009,11,Non-citizen / foreign-born unknown,4491800,797800.0,17.76125384033127
2009,11,US-born,51822000,3003900.0,5.796572884103276
2009,12,Naturalized citizen,168820900,34598900.0,20.4944411503552
2009,12,Non-citizen / foreign-born unknown,179123900,98250800.0,54.850748560074905
2009,12,US-born,1448465700,248160900.0,17.132673559339377
2009,13,Naturalized citizen,32064900,7345800.0,22.909162355098566
2009,13,Non-citizen / foreign-born unknown,60243800,38022800.0,63.11487655161196
2009,13,US-born,879256200,144925100.0,16.48269298527551
2009,15,Naturalized citizen,12966600,750300.0,5.7864050714913695
2009,15,Non-citizen / foreign-born unknown,9224300,1143000.0,12.391184154895223
2009,15,US-born,103552700,6542900.0,6.31842530421708
2009,16,Naturalized citizen,3231900,418300.0,12.942850954546861
2009,16,Non-citizen / foreign-born unknown,6228400,3077900.0,49.41718579410443
2009,16,US-born,143527600,22621000.0,15.760731733826805
2009,17,Naturalized citizen,77472300,11032300.0,14.240315570855646
2009,17,Non-citizen / foreign-born unknown,95751600,45256100.0,47.26406660567552
2009,17,US-born,1104600300,113948100.0,10.315776666003078
2009,18,Naturalized citizen,10312700,2401600.0,23.287790782239377
2009,18,Non-citizen / foreign-born unknown,17581500,7246200.0,41.21491340329324
2009,18,US-born,611321200,79934000.0,13.075613932577507
2009,19,Naturalized citizen,4309500,399700.0,9.27485787214294
2009,19,Non-citizen / foreign-born unknown,7171100,2848500.0,39.72193945140913
2009,19,US-born,288123400,22815600.0,7.918690394462928
2009,20,Naturalized citizen,5500900,929500.0,16.897234997909433
2009,20,Non-citizen / foreign-born unknown,12414700,6137800.0,49.4397770385108
2009,20,US-born,261871700,29110100.0,11.116168719262143
2009,21,Naturalized citizen,4046000,760900.0,18.80622837370242
2009,21,Non-citizen / foreign-born unknown,8626800,4233700.0,49.0761348356285
2009,21,US-born,416232900,58982500.0,14.170552111570228
2009,22,Naturalized citizen,6318800,1273300.0,20.150978033803888
2009,22,Non-citizen / foreign-born unknown,8645000,4474100.0,51.75361480624638
2009,22,US-born,431801500,73275100.0,16.969626089765782
2009,23,Naturalized citizen,2485500,146200.0,5.88211627439147
2009,23,Non-citizen / foreign-born unknown,2012100,226200.0,11.241985984792008
2009,23,US-born,125870400,12665100.0,10.062016169011937
2009,24,Naturalized citizen,33631400,4393900.0,13.064873897607592
2009,24,Non-citizen / foreign-born unknown,39714500,16524500.0,41.60822873257878
2009,24,US-born,489566400,43001900.0,8.783670611381828
2009,25,Naturalized citizen,46381200,1724200.0,3.7174544858692746
2009,25,Non-citizen / foreign-born unknown,48424900,7881100.0,16.27489163632759
2009,25,US-born,548880800,17721100.0,3.2285880650224965
2009,26,Naturalized citizen,29984400,4769800.0,15.907605288083138
2009,26,Non-citizen / foreign-born unknown,30338600,9648000.0,31.801071901801663
2009,26,US-born,930226700,109312200.0,11.75113550277583
2009,27,Naturalized citizen,16055400,1737400.0,10.821281313452172
2009,27,Non-citizen / foreign-born unknown,19516500,5920100.0,30.33382010094023
