period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2014-2019,21,US-born,2547198300,149852900.0,5.8830480532277365
2014-2019,22,Foreign-born,113260900,39931200.0,35.25594446097462
2014-2019,22,US-born,2666747200,266446600.0,9.991445758338099
2014-2019,23,Foreign-born,28881100,2682000.0,9.286349896645211
2014-2019,23,US-born,763610700,63425700.0,8.306025570359346
2014-2019,24,Foreign-born,547438500,105977900.0,19.358868621772128
2014-2019,24,US-born,3012127000,131161700.0,4.354454510052199
2014-2019,25,Foreign-born,681893900,43766700.0,6.418403214928305
2014-2019,25,US-born,3299207500,71418500.0,2.1647168297235018
2014-2019,26,Foreign-born,404417400,51281300.0,12.680290215010531
2014-2019,26,US-born,5520414800,317494000.0,5.751270719729249
2014-2019,27,Foreign-born,278538300,39284900.0,14.103949079893141
2014-2019,27,US-born,3026530400,120197100.0,3.971448626453579
2014-2019,28,Foreign-born,39216100,15283000.0,38.971238853430094
2014-2019,28,US-born,1740828400,223973800.0,12.865932104508405
2014-2019,29,Foreign-born,149285200,31159900.0,20.872732193144397
2014-2019,29,US-born,3484049000,334189700.0,9.59199196107747
2014-2019,30,Foreign-born,13690600,1810400.0,13.22367171636013
2014-2019,30,US-born,608877300,59994300.0,9.853266002854761
2014-2019,31,Foreign-born,81520600,22323100.0,27.38338530383731
2014-2019,31,US-born,1056698300,74808500.0,7.079456832664537
2014-2019,32,Foreign-born,349273400,89427000.0,25.603724761175627
2014-2019,32,US-born,1398118500,126197000.0,9.026201999329814
2014-2019,33,Foreign-born,48227400,6110300.0,12.66976863774535
2014-2019,33,US-born,746513900,46775000.0,6.265790898200288
2014-2019,34,Foreign-born,1209391900,247523500.0,20.466773425553786
2014-2019,34,US-born,4026755400,199380500.0,4.95139337244075
2014-2019,35,Foreign-born,119459800,37474800.0,31.37021826589363
2014-2019,35,US-born,1119004000,96713700.0,8.64283773784544
2014-2019,36,Foreign-born,2685894900,368225600.0,13.70960568859191
2014-2019,36,US-born,8826424200,375839600.0,4.25811848018816
2014-2019,37,Foreign-born,485200200,168328300.0,34.69254546886007
2014-2019,37,US-born,5569606400,517850700.0,9.297797057975227
2014-2019,38,Foreign-born,17275400,3411200.0,19.745997198328258
2014-2019,38,US-born,432362200,31578600.0,7.303737468261565
2014-2019,39,Foreign-born,311243900,49481600.0,15.898014386787981
2014-2019,39,US-born,6615417100,424804900.0,6.421437886357914
2014-2019,40,Foreign-born,137253700,48261200.0,35.16203934757314
2014-2019,40,US-born,2194505200,293507300.0,13.374645911069155
2014-2019,41,Foreign-born,242849400,46340000.0,19.081784842787343
2014-2019,41,US-born,2192855300,137236000.0,6.258324477679854
2014-2019,42,Foreign-born,519818300,81132800.0,15.607915304251504
2014-2019,42,US-born,7018859800,414085700.0,5.899614920360712
