YEAR,STATEFIP,nativity_group,weighted_population,weighted_mean_income
2011,42,Foreign-born,75638500,31580.0275396931
2011,42,US-born,1179056700,32491.656821013068
2011,44,Foreign-born,14205400,27706.77759811848
2011,44,US-born,88523600,36019.44107600162
2011,45,Foreign-born,22192400,25962.222257370315
2011,45,US-born,441625300,27444.027422242358
2011,46,Foreign-born,2367200,22625.946493201605
2011,46,US-born,79553100,31172.979576490787
2011,47,Foreign-born,30353900,26238.384293773208
2011,47,US-born,604744700,28676.616287868455
2011,48,Foreign-born,422656900,23961.466106129934
2011,48,US-born,2112912500,33220.56892030707
2011,49,Foreign-born,23592900,22129.145343384793
2011,49,US-born,255515900,31077.543415100405
2011,50,Foreign-born,2422600,30642.73883058471
2011,50,US-born,59633800,32987.16040966652
2011,51,Foreign-born,89866900,37063.49435286168
2011,51,US-born,706456500,39151.0579977222
2011,53,Foreign-born,91870500,31076.798767967146
2011,53,US-born,579776100,36380.490959905495
2011,54,Foreign-born,2330000,27910.437141178067
2011,54,US-born,182498700,26125.133731340113
2011,55,Foreign-born,27483300,30874.74612868815
2011,55,US-born,539262500,31706.266525609273
2011,56,Foreign-born,1641900,25255.036949839774
2011,56,US-born,54780500,33499.38199634574
2012,1,Foreign-born,16253900,25428.025480157045
2012,1,US-born,462181300,28227.005691633654
2012,2,Foreign-born,5050800,29120.565660693926
2012,2,US-born,66427400,41470.27853259822
2012,4,Foreign-born,89020900,23813.386842247186
2012,4,US-born,559019800,32110.45792144633
2012,5,Foreign-born,12744500,23713.03944817116
2012,5,US-born,280265100,26917.432976899905
2012,6,Foreign-born,1028627800,30162.983718213974
2012,6,US-born,2729730400,37574.92727312829
2012,8,Foreign-born,51117100,28674.76498098931
2012,8,US-born,459813000,38742.67779653477
2012,9,Foreign-born,48610400,40225.975510989876
2012,9,US-born,297276200,46278.24668050249
2012,10,Foreign-born,7981400,31090.806035050733
2012,10,US-born,82344900,35273.44823570602
2012,11,Foreign-born,9057200,51092.0761060702
2012,11,US-born,53105100,52681.070087008295
2012,12,Foreign-born,376330700,25928.606302631324
2012,12,US-born,1494186100,31839.1776700269
2012,13,Foreign-born,94131600,26739.449112159607
2012,13,US-born,884635200,30866.35727682102
2012,15,Foreign-born,24754100,27774.58279843791
2012,15,US-born,110030600,35995.49710572715
2012,16,Foreign-born,9362100,23076.018341827992
2012,16,US-born,148851900,29135.818870329917
2012,17,Foreign-born,178334500,30531.558507249523
2012,17,US-born,1095783700,36391.40694589912
2012,18,Foreign-born,30251200,28499.718008837906
2012,18,US-born,619716600,29758.07065829679
2012,19,Foreign-born,13129700,28097.038118946995
2012,19,US-born,292443200,33396.62906166413
2012,20,Foreign-born,18824000,27550.02722554935
2012,20,US-born,267279700,33570.760018807625
2012,21,Foreign-born,13374400,27001.5167417654
2012,21,US-born,421933100,27988.27655200986
2012,22,Foreign-born,16444100,28129.3844157981
2012,22,US-born,441258000,29752.77966751077
2012,23,Foreign-born,4430700,28304.23116338083
2012,23,US-born,127465500,30411.25905982019
2012,24,Foreign-born,83001200,38165.88234840107
2012,24,US-born,497491200,44039.37233900363
2012,25,Foreign-born,100220600,36504.31014808098
2012,25,US-born,547416400,43491.401938143914
2012,26,Foreign-born,60100600,32281.210060582038
2012,26,US-born,921432700,30225.69223120581
2012,27,Foreign-born,40339800,32317.79543895564
2012,27,US-born,494327900,38264.451593516314
2012,28,Foreign-born,5598900,23605.493092001558
2012,28,US-born,291132600,25285.15129796167
2012,29,Foreign-born,22648900,31917.34535611334
2012,29,US-born,575619000,30073.95499505601
2012,30,Foreign-born,1786000,23835.610142928785
2012,30,US-born,97984800,29701.613182113157
2012,31,Foreign-born,12239000,23057.280642648842
2012,31,US-born,171885000,34397.289541414946
2012,32,Foreign-born,52673100,25958.95656941923
2012,32,US-born,218334000,33216.23820228389
2012,33,Foreign-born,7310900,42229.597757009346
2012,33,US-born,123437500,38445.0397044275
2012,34,Foreign-born,187578800,39287.00142321409
2012,34,US-born,678570500,44345.45964101242
2012,35,Foreign-born,19438800,21260.326288299108
2012,35,US-born,186738400,29774.80936926544
2012,36,Foreign-born,444695500,32637.84748548036
2012,36,US-born,1466806900,39953.24263261643
2012,37,Foreign-born,75371100,25939.054183281565
2012,37,US-born,889321700,30533.15726061963
2012,38,Foreign-born,1958000,34717.37976219364
2012,38,US-born,66750700,39643.042064159694
2012,39,Foreign-born,43739100,33907.016443294815
2012,39,US-born,1102203600,31000.52396195022
2012,40,Foreign-born,21215800,23303.557211982494
2012,40,US-born,356936600,29954.688731962324
2012,41,Foreign-born,37160400,29027.836192343762
2012,41,US-born,349072700,31815.6461264904
2012,42,Foreign-born,76635700,34279.95626124176
2012,42,US-born,1179217700,33615.780389917614
2012,44,Foreign-born,14223200,28425.388575905683
2012,44,US-born,88913300,36544.5437812042
2012,45,Foreign-born,22133500,28065.091106156324
2012,45,US-born,444974800,28721.125374358744
2012,46,Foreign-born,2225100,28274.150508918672
2012,46,US-born,80686100,31483.72054380902
2012,47,Foreign-born,28276200,30159.58031021177
2012,47,US-born,611758700,28870.48095254991
2012,48,Foreign-born,422643500,25525.739654139972
2012,48,US-born,2150161200,34078.42098371184
2012,49,Foreign-born,23503400,23266.449957020508
2012,49,US-born,259240600,32361.80819891242
