YEAR,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2015,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,55.2,44.5,-10.700000000000003
2015,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,55.2,45.4,-9.800000000000004
2015,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,55.2,46.2,-9.0
2015,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,65.3,65.1,-0.20000000000000284
2015,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,65.3,63.5,-1.7999999999999972
2015,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,65.3,58.1,-7.199999999999996
2015,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,65.3,53.0,-12.299999999999997
2015,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,75.3,75.5,0.20000000000000284
2015,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,75.3,77.3,2.0
2015,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,75.3,70.5,-4.799999999999997
2015,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,75.3,63.6,-11.699999999999996
2015,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,80.2,80.2,0.0
2015,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,80.2,80.1,-0.10000000000000853
2015,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,80.2,72.7,-7.5
2015,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,80.2,65.2,-15.0
2015,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,76.0,76.2,0.20000000000000284
2015,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,76.0,78.4,2.4000000000000057
2015,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,76.0,70.3,-5.700000000000003
2015,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,76.0,62.3,-13.700000000000003
2015,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,52.7,52.2,-0.5
2015,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,52.7,45.1,-7.600000000000001
2015,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,52.7,42.6,-10.100000000000001
2015,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,52.7,40.5,-12.200000000000003
2015,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,63.5,63.4,-0.10000000000000142
2015,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,63.5,61.7,-1.7999999999999972
2015,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,63.5,53.9,-9.600000000000001
2015,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,63.5,46.4,-17.1
2015,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,73.1,73.0,-0.09999999999999432
