period,STATEFIP,Foreign-born,US-born,brain_waste_rate_pct_gap_foreign_minus_us
2014-2019,25,29.949442133652038,32.17336300009377,-2.223920866441734
2014-2019,26,24.657544757033246,34.47978742920718,-9.822242672173932
2014-2019,27,31.609331784896018,34.00031529622751,-2.390983511331495
2014-2019,28,30.22729398559536,36.16001177910497,-5.93271779350961
2014-2019,29,27.284123613905088,34.65948307280867,-7.375359458903581
2014-2019,30,29.380488197857087,37.01164175061132,-7.631153552754231
2014-2019,31,42.85495196468281,35.177384151142164,7.677567813540648
2014-2019,32,52.95099015131714,38.31272098700838,14.63826916430876
2014-2019,33,30.250606471773366,34.75464168991043,-4.504035218137062
2014-2019,34,33.238730946241475,33.546755771856525,-0.30802482561504974
2014-2019,35,29.883845722806317,33.36208671593724,-3.478240993130921
2014-2019,36,38.09084436387335,33.5517207812658,4.5391235826075516
2014-2019,37,31.177039892561396,35.432857919451905,-4.255818026890509
2014-2019,38,37.04138921530225,34.72488286749602,2.316506347806232
2014-2019,39,28.08986806192488,33.18598911647381,-5.096121054548934
2014-2019,40,34.42235831430351,36.0556429489516,-1.633284634648092
2014-2019,41,31.203044051284856,34.74276697679621,-3.539722925511356
2014-2019,42,32.889988199503286,33.881057255693506,-0.99106905619022
2014-2019,44,38.78024888437398,34.85455698724065,3.9256918971333334
2014-2019,45,33.96069396774649,37.50109018078019,-3.540396213033702
2014-2019,46,35.577208428133346,36.52647086374126,-0.9492624356079133
2014-2019,47,36.523790451020396,35.99199183854833,0.5317986124720662
2014-2019,48,32.70238180316619,32.924108588708165,-0.2217267855419749
2014-2019,49,43.37659224390616,31.53933335889799,11.837258885008168
2014-2019,50,26.23766673418014,35.12097097996627,-8.883304245786132
2014-2019,51,32.27964273898149,31.97470853777704,0.30493420120444625
2014-2019,53,31.94875957492466,33.149486180405894,-1.2007266054812327
2014-2019,54,23.700381996346124,34.80130318941525,-11.100921193069127
2014-2019,55,26.456236369340324,33.4603808962976,-7.004144526957276
2014-2019,56,33.41605741498424,37.73554859599766,-4.319491181013426
2020-2024,1,26.194545764244975,32.639637967879224,-6.44509220363425
2020-2024,2,44.36139522685549,35.181995484561654,9.179399742293839
2020-2024,4,31.474717220946463,31.950776604149922,-0.4760593832034594
2020-2024,5,31.39014321982984,32.09251926214517,-0.7023760423153256
2020-2024,6,28.478176757946454,29.936868085444736,-1.4586913274982827
2020-2024,8,32.43687509934443,31.414273263871,1.0226018354734272
2020-2024,9,30.08964211912956,29.61190864680904,0.4777334723205193
2020-2024,10,23.340904737144577,30.21415546567158,-6.873250728527005
2020-2024,11,20.92428829403017,19.4189861802408,1.5053021137893694
2020-2024,12,41.814471125044115,34.388478149354796,7.425992975689319
2020-2024,13,29.53433981834887,32.23027227694305,-2.6959324585941786
2020-2024,15,42.890230316847585,38.61218669875988,4.2780436180877075
2020-2024,16,36.52744058531107,32.51685798852167,4.010582596789398
2020-2024,17,30.829866458205217,30.902674882744847,-0.07280842453963032
2020-2024,18,29.489224149465088,32.00518907471295,-2.5159649252478644
2020-2024,19,29.28249135125768,32.294471742087936,-3.0119803908302565
2020-2024,20,27.85216834494053,30.52619774702911,-2.6740294020885784
2020-2024,21,37.85174335613123,33.67474739176149,4.176995964369738
2020-2024,22,32.354960068642335,31.623866469593132,0.7310935990492027
2020-2024,23,29.380560937529392,32.65831235325734,-3.277751415727945
2020-2024,24,28.670394635536166,25.70436786971167,2.9660267658244948
2020-2024,25,26.719905716180875,28.444179435675988,-1.7242737194951125
2020-2024,26,22.96652781012014,31.588376795126987,-8.621848985006846
2020-2024,27,29.24412050024908,29.869251439633594,-0.6251309393845155
2020-2024,28,36.54891304347826,34.140980249423244,2.4079327940550144
2020-2024,29,23.17240956551945,30.889854408409402,-7.71744484288995
2020-2024,30,39.31348294751723,34.39750363482526,4.915979312691967
2020-2024,31,33.4773007094139,31.3052053685182,2.1720953408957016
2020-2024,32,43.94088428349169,36.434616712624766,7.506267570866925
2020-2024,33,24.896400498020924,31.040723107973694,-6.14432260995277
2020-2024,34,28.79860594807165,30.33446504884579,-1.5358591007741396
2020-2024,35,24.457723867285054,29.486243861608884,-5.02851999432383
2020-2024,36,34.006245390557474,29.922159652985403,4.084085737572071
2020-2024,37,26.282378799956625,32.59846398506354,-6.316085185106914
2020-2024,38,27.004986494909623,34.585954982367085,-7.580968487457461
2020-2024,39,25.837369161068587,30.62577277199156,-4.788403610922973
2020-2024,40,32.11340302582612,33.61058319281877,-1.4971801669926492
2020-2024,41,27.555272454829378,31.64333070129375,-4.088058246464371
2020-2024,42,27.361293588419866,30.31074928511197,-2.9494556966921053
2020-2024,44,34.22456889288322,30.28540227808901,3.9391666147942104
2020-2024,45,30.91597450260769,34.21854515334529,-3.3025706507376
2020-2024,46,42.70917046164836,32.506278326495185,10.202892135153178
2020-2024,47,32.38694758478931,33.09392962161632,-0.7069820368270072
2020-2024,48,29.449594747937052,30.433323735261595,-0.9837289873245432
2020-2024,49,35.11661451745334,29.50452939843171,5.612085119021632
2020-2024,50,36.06567670235143,31.144323701637717,4.921353000713715
2020-2024,51,26.62011899022033,29.039722714448263,-2.419603724227933
2020-2024,53,24.61073594563207,29.4133246982761,-4.802588752644031
2020-2024,54,25.10778668364247,32.41592098826303,-7.3081343046205625
2020-2024,55,30.004169856720992,30.681951556627663,-0.6777816999066708
2020-2024,56,42.99275543342493,31.116835400067895,11.875920033357037
