period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2014-2019,40,Foreign-born,15414400,5306000.0,34.42235831430351
2014-2019,40,US-born,208508000,75178900.0,36.0556429489516
2014-2019,41,Foreign-born,32929800,10275100.0,31.203044051284856
2014-2019,41,US-born,270865300,94106100.0,34.74276697679621
2014-2019,42,Foreign-born,98809400,32498400.0,32.889988199503286
2014-2019,42,US-born,879098600,297847900.0,33.881057255693506
2014-2019,44,Foreign-born,11025200,4275600.0,38.78024888437398
2014-2019,44,US-born,76304800,26595700.0,34.85455698724065
2014-2019,45,Foreign-born,21269000,7223100.0,33.96069396774649
2014-2019,45,US-born,292382700,109646700.0,37.50109018078019
2014-2019,46,Foreign-born,2021800,719300.0,35.577208428133346
2014-2019,46,US-born,58715500,21446700.0,36.52647086374126
2014-2019,47,Foreign-born,31708100,11581000.0,36.523790451020396
2014-2019,47,US-born,399242700,143695400.0,35.99199183854833
2014-2019,48,Foreign-born,362410300,118516800.0,32.70238180316619
2014-2019,48,US-born,1466635000,482876500.0,32.924108588708165
2014-2019,49,Foreign-born,18354600,7961600.0,43.37659224390616
2014-2019,49,US-born,187759200,59218000.0,31.53933335889799
2014-2019,50,Foreign-born,3456100,906800.0,26.23766673418014
2014-2019,50,US-born,52301800,18368900.0,35.12097097996627
2014-2019,51,Foreign-born,135710300,43806800.0,32.27964273898149
2014-2019,51,US-born,615654400,196853700.0,31.97470853777704
2014-2019,53,Foreign-born,107181000,34243000.0,31.94875957492466
2014-2019,53,US-born,474923500,157434700.0,33.149486180405894
2014-2019,54,Foreign-born,3612600,856200.0,23.700381996346124
2014-2019,54,US-born,85912300,29898600.0,34.80130318941525
2014-2019,55,Foreign-born,26456900,6999500.0,26.456236369340324
2014-2019,55,US-born,405858500,135801800.0,33.4603808962976
2014-2019,56,Foreign-born,1490900,498200.0,33.41605741498424
2014-2019,56,US-born,33910200,12796200.0,37.73554859599766
2020-2024,1,Foreign-born,17025300,4459700.0,26.194545764244975
2020-2024,1,US-born,250585500,81790200.0,32.639637967879224
2020-2024,2,Foreign-born,4575600,2029800.0,44.36139522685549
2020-2024,2,US-born,37737200,13276700.0,35.181995484561654
2020-2024,4,Foreign-born,67977100,21395600.0,31.474717220946463
2020-2024,4,US-born,364387700,116424700.0,31.950776604149922
2020-2024,5,Foreign-born,10319800,3239400.0,31.39014321982984
2020-2024,5,US-born,137783200,44218100.0,32.09251926214517
2020-2024,6,Foreign-born,853679300,243112300.0,28.478176757946454
2020-2024,6,US-born,1866361900,558730300.0,29.936868085444736
2020-2024,8,Foreign-born,51588200,16733600.0,32.43687509934443
2020-2024,8,US-born,479502100,150632100.0,31.414273263871
2020-2024,9,Foreign-born,55264200,16628800.0,30.08964211912956
2020-2024,9,US-born,242942800,71940000.0,29.61190864680904
2020-2024,10,Foreign-born,10962300,2558700.0,23.340904737144577
2020-2024,10,US-born,55553100,16784900.0,30.21415546567158
2020-2024,11,Foreign-born,15062400,3151700.0,20.92428829403017
2020-2024,11,US-born,71926000,13967300.0,19.4189861802408
2020-2024,12,Foreign-born,389929600,163047000.0,41.814471125044115
2020-2024,12,US-born,961463600,330632700.0,34.388478149354796
2020-2024,13,Foreign-born,120703900,35649100.0,29.53433981834887
2020-2024,13,US-born,617345700,198972200.0,32.23027227694305
2020-2024,15,Foreign-born,19299500,8277600.0,42.890230316847585
2020-2024,15,US-born,76444000,29516700.0,38.61218669875988
2020-2024,16,Foreign-born,6054900,2211700.0,36.52744058531107
2020-2024,16,US-born,101391100,32969200.0,32.51685798852167
2020-2024,17,Foreign-born,174484700,53793400.0,30.829866458205217
2020-2024,17,US-born,793014200,245062600.0,30.902674882744847
2020-2024,18,Foreign-born,37370600,11020300.0,29.489224149465088
2020-2024,18,US-born,364149700,116546800.0,32.00518907471295
2020-2024,19,Foreign-born,15580300,4562300.0,29.28249135125768
2020-2024,19,US-born,185526800,59914900.0,32.294471742087936
2020-2024,20,Foreign-born,17647100,4915100.0,27.85216834494053
2020-2024,20,US-born,181023200,55259500.0,30.52619774702911
2020-2024,21,Foreign-born,16112600,6098900.0,37.85174335613123
2020-2024,21,US-born,228832600,77058800.0,33.67474739176149
2020-2024,22,Foreign-born,15151000,4902100.0,32.354960068642335
2020-2024,22,US-born,219072200,69279100.0,31.623866469593132
2020-2024,23,Foreign-born,5316100,1561900.0,29.380560937529392
2020-2024,23,US-born,88377500,28862600.0,32.65831235325734
2020-2024,24,Foreign-born,117543900,33700300.0,28.670394635536166
2020-2024,24,US-born,408153200,104913200.0,25.70436786971167
2020-2024,25,Foreign-born,133723900,35730900.0,26.719905716180875
2020-2024,25,US-born,529961500,150743200.0,28.444179435675988
2020-2024,26,Foreign-born,81162900,18640300.0,22.96652781012014
2020-2024,26,US-born,547948700,173088100.0,31.588376795126987
2020-2024,27,Foreign-born,49583300,14500200.0,29.24412050024908
