period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,6,79.47407407407407,75.8255991285403,62.150054466230934,-17.32401960784313,
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,6,68.45,63.84375,60.898958333333326,-7.55104166666667,
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,6,71.36944444444444,78.25916666666666,70.30002645502645,-1.069417989417983,
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,6,87.22047930283225,84.71,84.7118888888889,-2.7491568627450933,
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,6,75.7675925925926,75.11648692810458,69.33149509803923,-6.436097494553377,
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,brain_waste,Highly educated employment rate,percentage points,6,71.02314814814815,72.42083333333333,69.35729166666667,-1.665856481481485,
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,brain_waste,Highly educated employment rate,percentage points,6,80.52777777777777,,68.1826593137255,-12.345118464052286,
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,6,79.35833333333333,,67.78571428571429,-12.26428571428572,
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,6,75.73720043572985,80.24417892156863,71.34270833333333,-4.394492102396517,
2008-2013,2008,2013,Malta,MT,MLT,MLT,0,brain_waste,Highly educated employment rate,percentage points,6,79.18714596949891,75.33047619047619,72.11902356902358,-7.068122400475343,
2008-2013,2011,2013,Montenegro,ME,MNE,MNE,0,brain_waste,Highly educated employment rate,percentage points,3,73.88431372549019,,57.9425925925926,-15.941721132897603,
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,6,79.2,80.24558823529412,65.39375,-13.80625,
2008-2013,2008,2013,North Macedonia,MK,MKD,MKD,0,brain_waste,Highly educated employment rate,percentage points,6,67.0564814814815,,,,
2008-2013,2008,2013,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,6,84.51851851851852,87.19973447712418,73.69129901960785,-10.827219498910678,
