YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2014,2014-2019,Sweden,SE,SWE,SWE,0,poverty,Poverty risk rate,percentage points,15.833333333333334,31.266666666666666,54.5,38.666666666666664,
2014,2014-2019,Switzerland,CH,CHE,CHE,0,poverty,Poverty risk rate,percentage points,12.966666666666667,16.766666666666666,22.7,9.733333333333333,
2014,2014-2019,Turkey,TR,TUR,TUR,0,poverty,Poverty risk rate,percentage points,38.86666666666667,9.833333333333334,33.333333333333336,-5.533333333333331,
2014,2014-2019,United Kingdom,UK,GBR,GBR,0,poverty,Poverty risk rate,percentage points,22.166666666666668,22.400000000000002,34.666666666666664,12.499999999999996,
2025,,Austria,AT,AUT,AUT,0,temporary_contract,Temporary contract rate,percentage points,10.190000000000001,12.055555555555555,12.4375,2.2474999999999987,
2025,,Belgium,BE,BEL,BEL,0,temporary_contract,Temporary contract rate,percentage points,14.98,17.630000000000003,30.2875,15.307500000000001,
2025,,Croatia,HR,HRV,HRV,0,temporary_contract,Temporary contract rate,percentage points,10.98,,40.75,29.77,
2025,,Cyprus,CY,CYP,CYP,0,temporary_contract,Temporary contract rate,percentage points,9.55,7.975,47.239999999999995,37.69,
2025,,Czechia,CZ,CZE,CZE,0,temporary_contract,Temporary contract rate,percentage points,10.440000000000001,14.433333333333332,20.95,10.509999999999998,
2020,2020-2024,Denmark,DK,DNK,DNK,0,temporary_contract,Temporary contract rate,percentage points,12.8,15.566666666666668,19.3125,6.512499999999999,
2025,,Estonia,EE,EST,EST,0,temporary_contract,Temporary contract rate,percentage points,4.933333333333334,,3.9,-1.0333333333333337,
2025,,Finland,FI,FIN,FIN,0,temporary_contract,Temporary contract rate,percentage points,16.66,17.5,26.542857142857144,9.882857142857144,
2025,,France,FR,FRA,FRA,0,temporary_contract,Temporary contract rate,percentage points,18.86,22.33,28.330000000000002,9.470000000000002,
2025,,Germany,DE,DEU,DEU,0,temporary_contract,Temporary contract rate,percentage points,14.39,14.319999999999999,22.34,7.949999999999999,
2025,,Greece,EL,GRC,GRC,0,temporary_contract,Temporary contract rate,percentage points,11.14,14.6,23.65,12.509999999999998,
2024,2020-2024,Iceland,IS,ISL,ISL,0,temporary_contract,Temporary contract rate,percentage points,12.440000000000001,5.925,8.766666666666666,-3.6733333333333356,
2025,,Ireland,IE,IRL,IRL,0,temporary_contract,Temporary contract rate,percentage points,8.98,4.225,9.671428571428573,0.6914285714285722,
2025,,Italy,IT,ITA,ITA,0,temporary_contract,Temporary contract rate,percentage points,18.15,21.23,23.38,5.23,
2024,2020-2024,Latvia,LV,LVA,LVA,0,temporary_contract,Temporary contract rate,percentage points,2.77,,2.966666666666667,0.19666666666666677,
2024,2020-2024,Luxembourg,LU,LUX,LUX,0,temporary_contract,Temporary contract rate,percentage points,14.971428571428572,15.7125,13.700000000000001,-1.2714285714285705,
2020,2020-2024,Malta,MT,MLT,MLT,0,temporary_contract,Temporary contract rate,percentage points,6.01,22.771428571428572,18.228571428571428,12.218571428571428,
2020,2020-2024,Montenegro,ME,MNE,MNE,0,temporary_contract,Temporary contract rate,percentage points,34.2,,42.53333333333333,8.333333333333329,
2025,,Netherlands,NL,NLD,NLD,0,temporary_contract,Temporary contract rate,percentage points,26.48,33.43,46.32,19.84,
2025,,North Macedonia,MK,MKD,MKD,0,temporary_contract,Temporary contract rate,percentage points,22.28,18.2,28.139999999999997,5.859999999999996,
2025,,Norway,NO,NOR,NOR,0,temporary_contract,Temporary contract rate,percentage points,8.870000000000001,10.0,20.12857142857143,11.258571428571429,
2025,,Poland,PL,POL,POL,0,temporary_contract,Temporary contract rate,percentage points,20.3,,44.425000000000004,24.125000000000004,
2025,,Portugal,PT,PRT,PRT,0,temporary_contract,Temporary contract rate,percentage points,18.45,22.05,35.54,17.09,
2025,,Serbia,RS,SRB,SRB,0,temporary_contract,Temporary contract rate,percentage points,23.05,,21.53333333333333,-1.5166666666666693,
2025,,Slovenia,SI,SVN,SVN,0,temporary_contract,Temporary contract rate,percentage points,15.1,,17.8,2.700000000000001,
2025,,Spain,ES,ESP,ESP,0,temporary_contract,Temporary contract rate,percentage points,18.54,13.41,26.3,7.760000000000002,
2025,,Sweden,SE,SWE,SWE,0,temporary_contract,Temporary contract rate,percentage points,15.709999999999999,18.32857142857143,30.6625,14.952500000000002,
2025,,Switzerland,CH,CHE,CHE,0,temporary_contract,Temporary contract rate,percentage points,16.029999999999998,15.459999999999999,21.919999999999998,5.890000000000001,
2019,2014-2019,United Kingdom,UK,GBR,GBR,0,temporary_contract,Temporary contract rate,percentage points,5.57,7.2299999999999995,10.09,4.52,
