period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,78.41666666666666,57.83333333333332,-20.583333333333336
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,stateless,Stateless,78.41666666666666,38.233333333333334,-40.18333333333332
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,73.55000000000001,73.55,-1.4210854715202004e-14
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.55000000000001,73.43333333333334,-0.11666666666667425
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,73.55000000000001,64.81666666666666,-8.733333333333348
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,73.55000000000001,55.916666666666664,-17.633333333333347
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,stateless,Stateless,73.55000000000001,37.93333333333333,-35.61666666666668
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.660000000000004,49.11999999999999,-0.5400000000000134
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,49.660000000000004,44.459999999999994,-5.20000000000001
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,49.660000000000004,40.66,-9.000000000000007
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,49.660000000000004,36.440000000000005,-13.219999999999999
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,62.58,62.0,-0.5799999999999983
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,62.58,57.7,-4.8799999999999955
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,62.58,51.379999999999995,-11.200000000000003
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,62.58,44.26,-18.32
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,72.88,72.16,-0.7199999999999989
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,72.88,68.1,-4.780000000000001
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,72.88,59.0,-13.879999999999995
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,72.88,48.46,-24.419999999999995
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,78.66,77.9,-0.7599999999999909
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,78.66,72.79999999999998,-5.860000000000014
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,78.66,63.52,-15.139999999999993
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,78.66,52.260000000000005,-26.39999999999999
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,71.58000000000001,71.52000000000001,-0.060000000000002274
