period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014-2019,Greece,GRC,GRC,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,61.800000000000004,64.0,2.1999999999999957
2014-2019,Greece,GRC,GRC,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,61.800000000000004,63.93333333333334,2.133333333333333
2014-2019,Greece,GRC,GRC,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,61.800000000000004,63.88333333333333,2.0833333333333286
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,13.35,13.35,0.0
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,13.35,16.15,2.799999999999999
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,13.35,18.5,5.15
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,13.35,19.3,5.950000000000001
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,28.833333333333332,28.849999999999998,0.01666666666666572
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,28.833333333333332,28.216666666666665,-0.6166666666666671
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,28.833333333333332,31.78333333333333,2.9499999999999993
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,28.833333333333332,32.4,3.5666666666666664
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,47.416666666666664,47.43333333333334,0.016666666666672825
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,47.416666666666664,46.833333333333336,-0.5833333333333286
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,47.416666666666664,47.1,-0.3166666666666629
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,47.416666666666664,47.116666666666674,-0.29999999999999005
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,55.9,55.866666666666674,-0.03333333333332433
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,55.9,53.4,-2.5
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,55.9,52.4,-3.5
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 59 years,no_response,No response,55.9,53.7,-2.1999999999999957
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,55.9,52.18333333333334,-3.7166666666666615
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,52.916666666666664,52.916666666666664,0.0
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,52.916666666666664,51.96666666666667,-0.9499999999999957
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,52.916666666666664,51.68333333333334,-1.2333333333333272
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 64 years,no_response,No response,52.916666666666664,52.25,-0.6666666666666643
2014-2019,Greece,GRC,GRC,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,52.916666666666664,51.6,-1.3166666666666629
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,13.820000000000002,13.819999999999999,-3.552713678800501e-15
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,13.820000000000002,15.525000000000002,1.705
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,13.820000000000002,15.15,1.3299999999999983
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,29.4,29.32,-0.0799999999999983
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,29.4,22.939999999999998,-6.460000000000001
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,29.4,23.58,-5.82
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,44.46,44.44,-0.020000000000003126
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,44.46,42.72,-1.740000000000002
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,44.46,35.440000000000005,-9.019999999999996
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,44.46,34.379999999999995,-10.080000000000005
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,54.1,54.019999999999996,-0.0800000000000054
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,54.1,43.559999999999995,-10.540000000000006
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,54.1,40.160000000000004,-13.939999999999998
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 59 years,no_response,No response,54.1,46.9,-7.200000000000003
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,54.1,39.4,-14.700000000000003
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,51.46,51.36,-0.10000000000000142
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,51.46,41.9,-9.560000000000002
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,51.46,39.6,-11.86
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 64 years,no_response,No response,51.46,46.9,-4.560000000000002
2020-2024,Greece,GRC,GRC,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,51.46,39.019999999999996,-12.440000000000005
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,17.82,17.84,0.019999999999999574
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,17.82,41.0,23.18
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,17.82,31.0,13.18
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,17.82,32.5,14.68
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,35.67999999999999,35.67999999999999,0.0
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,35.67999999999999,56.9,21.220000000000006
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,35.67999999999999,46.32000000000001,10.640000000000015
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,35.67999999999999,48.760000000000005,13.080000000000013
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,55.84000000000001,55.82000000000001,-0.020000000000003126
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,55.84000000000001,50.720000000000006,-5.1200000000000045
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,55.84000000000001,66.02,10.179999999999986
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,55.84000000000001,67.9,12.059999999999995
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,70.76,70.74,-0.020000000000010232
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,70.76,67.78,-2.980000000000004
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,70.76,76.30000000000001,5.540000000000006
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 59 years,no_response,No response,70.76,71.35,0.5899999999999892
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,70.76,77.12,6.359999999999999
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,68.72,68.72,0.0
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,68.72,65.75999999999999,-2.960000000000008
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,68.72,74.64000000000001,5.920000000000016
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 64 years,no_response,No response,68.72,72.35,3.6299999999999955
2020-2024,Greece,GRC,GRC,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,68.72,75.52000000000001,6.800000000000011
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,15.84,15.839999999999998,-1.7763568394002505e-15
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,15.84,30.05,14.21
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,15.84,21.34,5.5
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,15.84,21.84,6.0
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,32.64,32.62,-0.020000000000003126
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,32.64,36.1,3.460000000000001
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,32.64,33.959999999999994,1.3199999999999932
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,32.64,35.26,2.6199999999999974
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,50.3,50.260000000000005,-0.03999999999999204
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,50.3,45.68,-4.619999999999997
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,50.3,48.28,-2.019999999999996
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,50.3,48.6,-1.6999999999999957
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,62.43999999999998,62.34000000000001,-0.099999999999973
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,62.43999999999998,51.38000000000001,-11.059999999999974
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,62.43999999999998,56.239999999999995,-6.199999999999989
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 59 years,no_response,No response,62.43999999999998,51.96666666666667,-10.473333333333315
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,62.43999999999998,56.92,-5.519999999999982
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,60.08,60.0,-0.0799999999999983
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,60.08,49.31999999999999,-10.760000000000005
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,60.08,55.1,-4.979999999999997
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 64 years,no_response,No response,60.08,52.333333333333336,-7.746666666666663
2020-2024,Greece,GRC,GRC,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,60.08,55.92,-4.159999999999997
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,23.433333333333334,23.433333333333334,0.0
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,39.13333333333333,39.11666666666667,-0.01666666666666572
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,39.13333333333333,56.4,17.266666666666666
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,53.20000000000001,53.18333333333334,-0.016666666666672825
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,53.20000000000001,55.75,2.54999999999999
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,53.20000000000001,50.73333333333334,-2.4666666666666686
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,53.20000000000001,68.2,14.999999999999993
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,65.3,65.26666666666667,-0.03333333333333144
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,65.3,61.0,-4.299999999999997
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,65.3,60.216666666666676,-5.0833333333333215
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,65.3,58.63333333333333,-6.666666666666664
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,60.13333333333333,60.11666666666667,-0.01666666666666572
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,60.13333333333333,56.25000000000001,-3.8833333333333258
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,60.13333333333333,56.71666666666667,-3.4166666666666643
2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,60.13333333333333,56.81666666666667,-3.316666666666663
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,30.883333333333336,30.866666666666664,-0.016666666666672825
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,50.616666666666674,50.63333333333335,0.016666666666672825
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,50.616666666666674,52.26666666666667,1.6499999999999986
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,68.73333333333333,68.76666666666667,0.03333333333333144
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,68.73333333333333,74.46666666666668,5.7333333333333485
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,68.73333333333333,66.41666666666667,-2.316666666666663
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,68.73333333333333,49.95,-18.78333333333333
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,76.53333333333333,76.56666666666666,0.03333333333333144
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,76.53333333333333,81.45,4.916666666666671
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,76.53333333333333,75.95,-0.5833333333333286
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,76.53333333333333,71.38333333333334,-5.1499999999999915
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,73.36666666666666,73.38333333333334,0.01666666666667993
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.36666666666666,77.71666666666668,4.350000000000023
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,73.36666666666666,73.68333333333334,0.3166666666666771
2014-2019,Hungary,HUN,HUN,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,73.36666666666666,70.23333333333333,-3.1333333333333258
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,27.25,27.233333333333334,-0.01666666666666572
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,27.25,32.3,5.049999999999997
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,45.01666666666667,45.050000000000004,0.03333333333333144
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,45.01666666666667,50.575,5.55833333333333
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,45.01666666666667,40.54999999999999,-4.466666666666683
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,45.01666666666667,41.7,-3.31666666666667
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,61.116666666666674,61.11666666666667,-7.105427357601002e-15
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,61.116666666666674,63.71666666666667,2.5999999999999943
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,61.116666666666674,59.46666666666667,-1.6500000000000057
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,61.116666666666674,53.5,-7.616666666666674
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,70.93333333333332,70.95,0.01666666666667993
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,70.93333333333332,71.95,1.01666666666668
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,70.93333333333332,69.03333333333335,-1.8999999999999773
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,70.93333333333332,65.39999999999999,-5.533333333333331
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,66.68333333333334,66.7,0.01666666666666572
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,66.68333333333334,67.58333333333333,0.8999999999999915
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,66.68333333333334,66.16666666666667,-0.5166666666666657
2014-2019,Hungary,HUN,HUN,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,66.68333333333334,64.31666666666668,-2.36666666666666
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,23.72,23.8,0.08000000000000185
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,43.26,43.28,0.020000000000003126
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,43.26,50.599999999999994,7.339999999999996
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,43.26,37.5,-5.759999999999998
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,59.64000000000001,59.660000000000004,0.01999999999999602
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,59.64000000000001,65.08,5.439999999999991
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,59.64000000000001,54.1,-5.540000000000006
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,59.64000000000001,44.875,-14.765000000000008
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,72.3,72.3,0.0
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,72.3,72.58,0.28000000000000114
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,72.3,61.02,-11.279999999999994
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,72.3,50.36,-21.939999999999998
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,68.64,68.64,0.0
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,68.64,70.32000000000001,1.6800000000000068
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,68.64,60.04,-8.600000000000001
2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,68.64,50.080000000000005,-18.559999999999995
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,30.359999999999996,30.32,-0.039999999999995595
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,50.980000000000004,50.980000000000004,0.0
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,50.980000000000004,41.8,-9.180000000000007
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,50.980000000000004,35.8,-15.180000000000007
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,69.28,69.25999999999999,-0.020000000000010232
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,69.28,71.8,2.519999999999996
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,69.28,65.47999999999999,-3.8000000000000114
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,69.28,64.02,-5.260000000000005
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,79.41999999999999,79.4,-0.01999999999998181
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,79.41999999999999,78.42,-0.9999999999999858
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,79.41999999999999,75.36,-4.059999999999988
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,79.41999999999999,72.67999999999999,-6.739999999999995
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,78.46000000000001,78.44,-0.020000000000010232
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,78.46000000000001,75.17999999999999,-3.2800000000000153
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,78.46000000000001,74.32000000000001,-4.140000000000001
2020-2024,Hungary,HUN,HUN,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,78.46000000000001,73.41999999999999,-5.0400000000000205
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,27.140000000000004,27.160000000000004,0.019999999999999574
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,27.140000000000004,26.3,-0.8400000000000034
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,47.22,47.22,0.0
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,47.22,44.7,-2.519999999999996
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,47.22,40.1,-7.119999999999997
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,47.22,34.45,-12.769999999999996
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,64.56000000000002,64.6,0.03999999999997783
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,64.56000000000002,66.62,2.059999999999988
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,64.56000000000002,59.8,-4.760000000000019
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,64.56000000000002,55.82000000000001,-8.740000000000009
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,75.9,75.92,0.01999999999999602
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,75.9,75.52000000000001,-0.37999999999999545
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,75.9,68.47999999999999,-7.420000000000016
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,75.9,63.14000000000001,-12.759999999999998
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,73.58,73.58,0.0
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.58,72.83999999999999,-0.7400000000000091
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,73.58,67.53999999999999,-6.040000000000006
2020-2024,Hungary,HUN,HUN,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,73.58,63.519999999999996,-10.060000000000002
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,76.14999999999999,76.18333333333332,0.03333333333333144
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,76.14999999999999,83.55000000000001,7.40000000000002
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,78.18333333333332,78.28333333333333,0.10000000000000853
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,78.18333333333332,82.14999999999999,3.9666666666666686
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,78.18333333333332,81.21666666666668,3.03333333333336
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,78.18333333333332,87.9,9.716666666666683
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,80.86666666666666,81.06666666666668,0.20000000000001705
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,80.86666666666666,85.25,4.38333333333334
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,80.86666666666666,81.98333333333332,1.11666666666666
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,80.86666666666666,79.025,-1.8416666666666544
2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,82.95,83.06666666666666,0.11666666666666003
