YEAR,STATEFIP,US_State,is_imigrant,total_educated_pop,brain_waste_pop,brain_waste_pct
2015,31,Nebraska,True,27086.0,9025.0,33.31979620468138
2015,32,Nevada,False,302022.0,106550.0,35.27888696849899
2015,32,Nevada,True,88843.0,45850.0,51.6078925745416
2015,33,New Hampshire,False,272378.0,78462.0,28.806291257003135
2015,33,New Hampshire,True,29727.0,8015.0,26.962021058297168
2015,34,New Jersey,False,1495149.0,443038.0,29.631695570140504
2015,34,New Jersey,True,599517.0,177921.0,29.677390299190847
2015,35,New Mexico,False,264151.0,73225.0,27.720886916952804
2015,35,New Mexico,True,32935.0,8889.0,26.98952482161834
2015,36,New York,False,3250336.0,941821.0,28.97611200811239
2015,36,New York,True,1136433.0,381055.0,33.53079328037817
2015,37,North Carolina,False,1575510.0,482053.0,30.596632201636297
2015,37,North Carolina,True,194737.0,57348.0,29.44894909544668
2015,38,North Dakota,False,136298.0,45535.0,33.40841391656517
2015,38,North Dakota,True,6720.0,2919.0,43.4375
2015,39,Ohio,False,1754635.0,514004.0,29.29406970680512
2015,39,Ohio,True,168604.0,42830.0,25.402718796707074
2015,40,Oklahoma,False,522227.0,158556.0,30.361509458530485
2015,40,Oklahoma,True,40719.0,12933.0,31.761585500626243
2015,41,Oregon,False,683294.0,207264.0,30.333063073874495
2015,41,Oregon,True,92501.0,27136.0,29.335899071361393
2015,42,Pennsylvania,False,2130785.0,611782.0,28.71157812730989
2015,42,Pennsylvania,True,254376.0,71078.0,27.942101456112212
2015,44,Rhode Island,False,186436.0,54984.0,29.49215816687764
2015,44,Rhode Island,True,30384.0,10395.0,34.21208530805687
2015,45,South Carolina,False,709044.0,236228.0,33.31640913680957
2015,45,South Carolina,True,62026.0,19876.0,32.04462644697385
2015,46,South Dakota,False,140412.0,49299.0,35.11024698743697
2015,46,South Dakota,True,3818.0,1366.0,35.777894185437404
2015,47,Tennessee,False,958766.0,292546.0,30.51276328113429
2015,47,Tennessee,True,80272.0,25710.0,32.0286027506478
2015,48,Texas,False,3508986.0,973173.0,27.733738464616277
2015,48,Texas,True,896811.0,268768.0,29.969302339065866
2015,49,Utah,False,440801.0,124363.0,28.2129577745967
2015,49,Utah,True,44044.0,16068.0,36.481700118063756
