period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995-2007,1995,2007,Norway,NO,NOR,NOR,0,poverty,Poverty risk rate,percentage points,5,14.73,,,,
1995-2007,1995,2007,Norway,NO,NOR,NOR,0,temporary_contract,Temporary contract rate,percentage points,13,11.98,13.31,20.56,8.58,
1995-2007,1995,2007,Poland,PL,POL,POL,0,brain_waste,Highly educated employment rate,percentage points,4,71.9,,81.96,10.04,
1995-2007,1995,2007,Poland,PL,POL,POL,0,poverty,Poverty risk rate,percentage points,3,39.98,,,,
1995-2007,1995,2007,Poland,PL,POL,POL,0,temporary_contract,Temporary contract rate,percentage points,4,29.45,,56.11,26.62,
1995-2007,1995,2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,9,80.25,80.26,80.74,2.46,
1995-2007,1995,2007,Portugal,PT,PRT,PRT,0,poverty,Poverty risk rate,percentage points,4,23.63,,,,
1995-2007,1995,2007,Portugal,PT,PRT,PRT,0,temporary_contract,Temporary contract rate,percentage points,9,21.26,46.09,53.53,32.27,
1995-2007,1995,2007,Romania,RO,ROU,ROU,0,brain_waste,Highly educated employment rate,percentage points,4,75.64,,,,
1995-2007,1995,2007,Romania,RO,ROU,ROU,0,poverty,Poverty risk rate,percentage points,1,43.77,,,,
1995-2007,1995,2007,Romania,RO,ROU,ROU,0,temporary_contract,Temporary contract rate,percentage points,4,2.71,,,,
1995-2007,1995,2007,Slovakia,SK,SVK,SVK,0,brain_waste,Highly educated employment rate,percentage points,5,75.88,,,,
1995-2007,1995,2007,Slovakia,SK,SVK,SVK,0,poverty,Poverty risk rate,percentage points,3,25.7,,,,
1995-2007,1995,2007,Slovakia,SK,SVK,SVK,0,temporary_contract,Temporary contract rate,percentage points,5,6.69,,,,
1995-2007,1995,2007,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,6,77.15,80.56,,,
1995-2007,1995,2007,Slovenia,SI,SVN,SVN,0,poverty,Poverty risk rate,percentage points,3,17.42,,,,
1995-2007,1995,2007,Slovenia,SI,SVN,SVN,0,temporary_contract,Temporary contract rate,percentage points,6,21.43,,39.44,16.8,
1995-2007,1995,2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,11,79.73,80.97,61.71,-18.02,
1995-2007,1995,2007,Sweden,SE,SWE,SWE,0,poverty,Poverty risk rate,percentage points,4,13.88,,,,
1995-2007,1995,2007,Sweden,SE,SWE,SWE,0,temporary_contract,Temporary contract rate,percentage points,11,18.17,20.64,32.16,13.99,
1995-2007,1995,2007,Turkey,TR,TUR,TUR,0,poverty,Poverty risk rate,percentage points,2,63.03,,,,
2008-2013,2008,2013,Albania,AL,ALB,ALB,0,incarceration,Foreign prison-population representation,ratio,6,82.85,,1.04,-81.81,0.01
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,6,78.05,78.14,63.0,-15.06,
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,incarceration,Foreign prison-population representation,ratio,6,52.81,,45.84,-5.61,0.9
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,poverty,Poverty risk rate,percentage points,6,16.14,33.73,37.64,21.69,
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,temporary_contract,Temporary contract rate,percentage points,6,10.54,14.28,13.5,2.96,
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,6,73.66,74.51,58.19,-15.48,
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,incarceration,Foreign prison-population representation,ratio,6,56.78,,43.13,-13.65,0.76
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,poverty,Poverty risk rate,percentage points,6,18.05,28.32,61.61,43.69,
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,temporary_contract,Temporary contract rate,percentage points,6,10.08,16.53,27.15,17.07,
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,6,74.61,,,,
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,incarceration,Foreign prison-population representation,ratio,6,98.02,,1.98,-96.03,0.02
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,poverty,Poverty risk rate,percentage points,6,44.66,,55.67,10.31,
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,temporary_contract,Temporary contract rate,percentage points,6,5.41,,,,
2008-2013,2008,2013,Bosnia and Herzegovina,BA,BIH,BIH,0,incarceration,Foreign prison-population representation,ratio,3,92.31,,1.72,-90.59,0.02
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,6,82.86,79.64,69.0,-13.86,
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,incarceration,Foreign prison-population representation,ratio,6,29.96,,70.04,40.09,2.35
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,poverty,Poverty risk rate,percentage points,6,13.09,13.98,28.45,15.37,
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,temporary_contract,Temporary contract rate,percentage points,6,15.31,13.96,18.21,2.9,
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,6,78.03,73.57,60.22,-17.81,
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,incarceration,Foreign prison-population representation,ratio,6,42.61,,57.39,14.77,1.35
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,poverty,Poverty risk rate,percentage points,6,21.14,35.05,40.83,19.12,
