YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1999,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,80.00555555555555,62.25555555555555,70.8529411764706,-9.152614379084952,
1999,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,77.03888888888889,,57.05,-19.988888888888894,
1999,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,70.38888888888889,69.08333333333333,52.35,-18.038888888888884,
1999,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,86.02777777777777,81.99333333333334,77.25333333333333,-8.774444444444441,
1999,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,70.9,73.84166666666667,65.35000000000001,-5.549999999999997,
1999,1995-2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,84.2235294117647,76.78999999999999,76.50714285714285,-7.716386554621849,
1999,1995-2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,94.65625,,,,
1999,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,74.35,,,,
1999,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,82.20625,79.625,69.60000000000001,-12.606249999999989,
1999,1995-2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,78.79444444444444,84.5,62.98125,-15.813194444444434,
1999,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,82.27777777777777,90.16000000000001,81.63333333333334,-0.6444444444444315,
1999,1995-2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,85.06470588235294,,,,
1999,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,78.36666666666666,80.86666666666666,60.99166666666667,-17.374999999999993,
2000,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,76.38333333333334,80.26428571428572,80.34166666666667,3.9583333333333286,
2000,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,75.13333333333334,73.79333333333334,66.33333333333333,-8.800000000000011,
2000,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,84.15,83.91764705882352,75.03999999999999,-9.110000000000014,
2000,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,82.08333333333333,79.20833333333333,60.38125,-21.702083333333327,
2000,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,77.36666666666666,85.25,68.65,-8.716666666666654,
2000,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.65555555555555,73.9125,58.39411764705883,-17.261437908496724,
2000,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,80.75,90.94,61.98888888888889,-18.761111111111113,
2000,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,70.90555555555555,58.476470588235294,59.78235294117647,-11.123202614379082,
2000,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,78.28823529411765,,77.43125,-0.8569852941176492,
2000,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,76.28333333333333,72.83333333333333,51.67,-24.61333333333333,
2000,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,71.40555555555555,69.0,60.18666666666666,-11.218888888888891,
2000,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,86.29444444444444,82.96666666666667,80.24375,-6.0506944444444315,
2000,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,71.86666666666666,78.05833333333334,73.00833333333334,1.14166666666668,
2000,1995-2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,84.47647058823529,82.02000000000001,74.52142857142857,-9.955042016806715,
2000,1995-2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,95.5375,,,,
2000,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,72.42777777777778,,,,
2000,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,78.43529411764706,74.87647058823529,79.3,0.8647058823529363,
2000,1995-2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,77.61111111111111,78.05,62.1,-15.511111111111113,
2000,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,82.52777777777777,82.64,78.1,-4.427777777777777,
2000,1995-2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,82.11666666666666,,,,
2000,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,78.36666666666666,79.625,58.61666666666667,-19.749999999999993,
2001,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,76.77222222222223,81.92307692307692,77.29166666666667,0.5194444444444457,
2001,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,74.07222222222222,77.1375,57.583333333333336,-16.488888888888887,
2001,1995-2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,65.94444444444444,,,,
2001,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,84.03333333333333,84.83125,80.8,-3.2333333333333343,
2001,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,83.27777777777777,87.43571428571428,61.800000000000004,-21.477777777777767,
2001,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,79.62222222222222,78.01,66.61666666666666,-13.00555555555556,
2001,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.72222222222223,75.92941176470588,61.6,-14.122222222222227,
2001,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,80.71111111111111,78.5,58.300000000000004,-22.411111111111104,
2001,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,71.99444444444445,65.04117647058824,71.91176470588235,-0.08267973856210631,
