YEAR,period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,obs_flag,conf_status
2023,2020-2024,Greece,GRC,GRC,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,16.4,,
2024,2020-2024,Greece,GRC,GRC,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,16.7,,
2014,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,15.9,,
2015,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,16.9,,
2016,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,17.0,,
2017,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,19.3,,
2018,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,19.8,,
2019,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,19.5,,
2020,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,16.0,,
2021,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,18.6,bd,
2022,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,20.5,d,
2023,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,21.5,d,
2024,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.3,d,
2014,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,27.9,,
2015,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,28.4,,
2016,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,29.2,,
2017,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,30.2,,
2018,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,30.7,,
2019,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,31.2,,
2020,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,29.3,,
2021,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,30.6,b,
2022,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,32.6,,
2023,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,33.1,,
2024,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,32.8,,
2014,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,43.4,,
2015,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,43.2,,
2016,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,43.9,,
2017,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,43.9,,
2018,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,46.0,,
2019,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,45.7,,
2020,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,41.6,,
2021,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,44.4,b,
2022,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,47.2,,
2023,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,48.5,,
2024,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,45.4,,
2014,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,25.8,b,
2015,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,26.4,,
2016,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,26.4,,
2017,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,26.8,,
2018,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,27.6,,
2019,2014-2019,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,28.3,,
2020,2020-2024,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,26.7,,
2021,2020-2024,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,31.0,bd,
2022,2020-2024,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,34.0,d,
2023,2020-2024,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,33.8,d,
2024,2020-2024,France,FRA,FRA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,32.5,d,
2014,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,14.8,,
2015,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,15.7,,
2016,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.3,,
2017,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.4,,
