period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,years_observed
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,57.7,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,51.379999999999995,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,44.26,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,reporting_country,Reporting-country citizens,62.58,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,total,Total,60.17999999999999,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,72.16,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,68.1,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,59.0,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,48.46,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,reporting_country,Reporting-country citizens,72.88,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,total,Total,69.44000000000001,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,77.9,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,72.79999999999998,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,63.52,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,52.260000000000005,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.66,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 59 years,total,Total,75.3,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,71.52000000000001,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,71.02000000000001,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,61.6,5
